address,age,area,building,floor,floor_plan,name,rent
東京都杉並区高円寺南１,築42年,19.53m,10階建,7階,ワンルーム,YAハイツ高円寺,5.68万円
東京都中野区弥生町４,築3年,15.31m,3階建,3階,1K,東京メトロ丸ノ内線 中野富士見町駅 3階建 築3年,7万円
東京都杉並区和田２,築41年,13.39m,3階建,3階,ワンルーム,メゾン・ド・スサーナ,4.5万円
東京都杉並区和田１,築37年,25m,5階建,3階,1K,いづみハイツ,6.7万円
東京都杉並区和田２,築29年,20.82m,3階建,3階,1K,東京メトロ丸ノ内線 東高円寺駅 3階建 築29年,6.4万円
東京都杉並区和田３,築17年,16.82m,4階建,2階,ワンルーム,エシール高円寺,6.2万円
東京都中野区本町６,築24年,21.92m,13階建,2階,ワンルーム,東京メトロ丸ノ内線 東高円寺駅 13階建 築24年,6.5万円
東京都中野区本町５,築50年,17.56m,8階建,4階,ワンルーム,三田新中野コーポ,6万円
東京都杉並区堀ノ内２,築29年,19.26m,5階建,2階,ワンルーム,トーシン・フェニックスマンション方南町,6.2万円
東京都中野区弥生町５,築32年,21m,2階建,2階,1K,ＢＯＮＯＭＯ－ＨＯＵＳＥ,6.3万円
東京都中野区本町６,築32年,16.58m,4階建,2階,ワンルーム,東京メトロ丸ノ内線 新中野駅 4階建 築32年,5.4万円
東京都杉並区和田１,築44年,22m,2階建,2階,1DK,東京メトロ丸ノ内線 中野富士見町駅 2階建 築44年,6.9万円
東京都中野区弥生町２,築39年,14.04m,4階建,4階,ワンルーム,メゾン・ド・ペガーズ,5万円
東京都杉並区堀ノ内２,築29年,19.26m,5階建,2階,ワンルーム,東京メトロ丸ノ内線 方南町駅 5階建 築29年,6.2万円
東京都中野区南台３,築31年,23.1m,4階建,2階,1K,東京メトロ丸ノ内線 中野富士見町駅 4階建 築31年,6.5万円
東京都中野区本町３,築20年,19.08m,8階建,3階,1K,ルーブル中野新橋,6.4万円
東京都中野区本町６,築32年,16.58m,4階建,2階,ワンルーム,メインステージ新中野,5.4万円
address,age,area,building,floor,floor_plan,name,rent
